URL,Version,Status,OIDs,Name,Title,Description,Used
http://hl7.org/fhir/provenance-entity-role,4.0.1,draft,"2.16.840.1.113883.4.642.4.437",ProvenanceEntityRole,ProvenanceEntityRole,"How an entity was used in an activity.","ValueSet/provenance-entity-role"
http://hl7.org/fhir/publication-status,4.0.1,active,"2.16.840.1.113883.4.642.4.4",PublicationStatus,PublicationStatus,"The lifecycle status of an artifact.","ValueSet/publication-status"
http://hl7.org/fhir/questionnaire-answers-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.448",QuestionnaireResponseStatus,QuestionnaireResponseStatus,"Lifecycle status of the questionnaire response.","ValueSet/questionnaire-answers-status"
http://hl7.org/fhir/questionnaire-enable-behavior,4.0.1,draft,"2.16.840.1.113883.4.642.4.1008",EnableWhenBehavior,EnableWhenBehavior,"Controls how multiple enableWhen values are interpreted -  whether all or any must be true.","ValueSet/questionnaire-enable-behavior"
http://hl7.org/fhir/questionnaire-enable-operator,4.0.1,draft,"2.16.840.1.113883.4.642.4.1006",QuestionnaireItemOperator,QuestionnaireItemOperator,"The criteria by which a question is enabled.","ValueSet/questionnaire-enable-operator"
http://hl7.org/fhir/request-intent,4.0.1,draft,"2.16.840.1.113883.4.642.4.114",RequestIntent,RequestIntent,"Codes indicating the degree of authority/intentionality associated with a request.","ValueSet/request-intent,ValueSet/task-intent"
http://hl7.org/fhir/request-priority,4.0.1,draft,"2.16.840.1.113883.4.642.4.116",RequestPriority,RequestPriority,"Identifies the level of importance to be assigned to actioning the request.","ValueSet/request-priority"
http://hl7.org/fhir/request-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.112",RequestStatus,RequestStatus,"Codes identifying the lifecycle stage of a request.","ValueSet/request-status"
http://hl7.org/fhir/resource-types,4.0.1,active,,ResourceType,ResourceType,"One of the resource types defined as part of this version of FHIR.","ValueSet/subject-type,ValueSet/resource-types"
http://hl7.org/fhir/subscription-channel-type,4.0.1,draft,"2.16.840.1.113883.4.642.4.501",SubscriptionChannelType,SubscriptionChannelType,"The type of method used to execute a subscription.","ValueSet/subscription-channel-type"
http://hl7.org/fhir/subscription-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.503",SubscriptionStatus,SubscriptionStatus,"The status of a subscription.","ValueSet/subscription-status"
http://hl7.org/fhir/task-intent,4.0.1,draft,"2.16.840.1.113883.4.642.4.1241",TaskIntent,TaskIntent,"Distinguishes whether the task is a proposal, plan or full order.","ValueSet/task-intent"
http://hl7.org/fhir/task-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.791",TaskStatus,TaskStatus,"The current status of the task.","ValueSet/task-status"
http://hl7.org/fhir/uv/sdc/CodeSystem/temp,4.0.0-ballot,active,"2.16.840.1.113883.4.642.40.17.16.7",TemporaryCodes,Temporary SDC Codes,"Defines codes defined within the SDC implementation guide that are expected to migrate elsewhere in future releases","ValueSet/task-code"
http://loinc.org,3.1.0,active,"2.16.840.1.113883.6.1",LOINC,Logical Observation Identifiers, Names and Codes (LOINC),"LOINC provides a set of universal names and ID codes for identifying laboratory and clinical test results.1,2 LOINC facilitates the exchange and pooling of results, such as blood hemoglobin, serum potassium, or vital signs, for clinical care, outcomes management, and research. LOINC's universal identifiers (names and codes) can be used in the context of order and observation exchanges between information systems that use syntax standards such as HL73, CEN TC251, ISO TC215, ASTM4, and DICOM. Specifically, the identifier can be used as the coded value for an observation in any other standard that uses the observation/observation value paradigm, whether messages, documents, application programming interface (API), etc. For example, LOINC codes are used widely in the OBX segment Observation Identifier field (OBX-3) of an ORU HL7 (HL7 version 2.x or ASTM 1238-9410) message that may be sent between a Clinical Laboratory Information Management Systems (LIMS) and Electronic Health Record Systems (EHR).5, 6 In this way, LOINC codes provide universal identifiers that allow the exchange of clinical data between heterogeneous computing environments.","ValueSet/c80-doc-typecodes,ValueSet/questionnaire-questions,ValueSet/observation-codes,ValueSet/document-classcodes"
http://ontario.ca/fhir/eforms/CodeSystem/business-status,0.1.0,active,,EFormsBusinessStatusCS,eForms Business Status CodeSystem,"Codes representing the eForms workflow states that appear in the `businessStatus` extension on ServiceRequest and Task.","ValueSet/business-status"
http://ontario.ca/fhir/eforms/CodeSystem/task-code,0.1.0,active,,EFormsTaskCode,OH eForms Task Code System,"Additional workflow codes used by eForms tasks.","ValueSet/task-code"
http://snomed.info/sct,null,active,"2.16.840.1.113883.6.96",SNOMED_CT,SNOMED CT (all versions),"SNOMED CT is the most comprehensive and precise clinical health terminology product in the world, owned and distributed around the world by The International Health Terminology Standards Development Organisation (IHTSDO).","ValueSet/servicerequest-category,ValueSet/performer-role,ValueSet/c80-facilitycodes,ValueSet/clinical-findings,ValueSet/c80-practice-codes,ValueSet/participant-role,ValueSet/procedure-reason,ValueSet/condition-code,ValueSet/practitioner-role,ValueSet/body-site,ValueSet/questionnaire-answers,ValueSet/servicerequest-orderdetail,ValueSet/goal-start-event,ValueSet/procedure-code,ValueSet/medication-as-needed-reason"
http://terminology.hl7.org/CodeSystem/action-type,1.0.1,active,"2.16.840.1.113883.4.642.1.1246",ActionType,ActionType,"The type of action to be performed.","ValueSet/action-type"
http://terminology.hl7.org/CodeSystem/communication-category,1.0.1,active,"2.16.840.1.113883.4.642.1.1076",CommunicationCategory,CommunicationCategory,"Codes for general categories of communications such as alerts, instructions, etc.","ValueSet/communication-category"
http://terminology.hl7.org/CodeSystem/communication-not-done-reason,1.0.1,active,"2.16.840.1.113883.4.642.1.1077",CommunicationNotDoneReason,CommunicationNotDoneReason,"Codes for the reason why a communication did not happen.","ValueSet/communication-not-done-reason"
http://terminology.hl7.org/CodeSystem/communication-topic,1.0.1,active,"2.16.840.1.113883.4.642.1.1078",CommunicationTopic,CommunicationTopic,"Codes describing the purpose or content of the communication.","ValueSet/communication-topic"
http://terminology.hl7.org/CodeSystem/contactentity-type,1.0.0,draft,"2.16.840.1.113883.4.642.1.1129",ContactEntityType,Contact entity type,"This example value set defines a set of codes that can be used to indicate the purpose for which you would contact a contact party.","ValueSet/contactentity-type"
http://terminology.hl7.org/CodeSystem/contractsignertypecodes,1.0.1,active,"2.16.840.1.113883.4.642.1.1201",ContractSignerTypeCodes,Contract Signer Type Codes,"This value set includes sample Contract Signer Type codes.","ValueSet/security-role-type"
http://terminology.hl7.org/CodeSystem/definition-topic,1.0.1,active,"2.16.840.1.113883.4.642.1.1244",DefinitionTopic,DefinitionTopic,"High-level categorization of the definition, used for searching, sorting, and filtering.","ValueSet/definition-topic"
http://terminology.hl7.org/CodeSystem/extra-security-role-type,1.0.1,active,,SecurityRoleType,Security Role Type,"This CodeSystem contains Additional FHIR-defined Security Role types not defined elsewhere","ValueSet/security-role-type"
http://terminology.hl7.org/CodeSystem/goal-category,2.0.0,active,"2.16.840.1.113883.4.642.1.1097",GoalCategory,Goal category,"Codes for grouping goals to use for filtering or presentation.","ValueSet/goal-category"
http://terminology.hl7.org/CodeSystem/goal-priority,1.0.1,active,"2.16.840.1.113883.4.642.1.1096",GoalPriority,Goal priority,"Indicates the level of importance associated with reaching or sustaining a goal.","ValueSet/goal-priority"
http://terminology.hl7.org/CodeSystem/organization-type,2.0.1,active,"2.16.840.1.113883.4.642.1.1128",OrganizationType,Organization type,"This example value set defines a set of codes that can be used to indicate a type of organization.","ValueSet/organization-type"
http://terminology.hl7.org/CodeSystem/plan-definition-type,2.0.0,active,"2.16.840.1.113883.4.642.1.1245",PlanDefinitionType,PlanDefinitionType,"The type of PlanDefinition.","ValueSet/plan-definition-type"
http://terminology.hl7.org/CodeSystem/practitioner-role,1.0.1,active,"2.16.840.1.113883.4.642.1.1132",PractitionerRole,Practitioner role,"This example value set defines a set of codes that can be used to indicate the role of a Practitioner.","ValueSet/practitioner-role"
http://terminology.hl7.org/CodeSystem/provenance-participant-type,1.1.0,active,"2.16.840.1.113883.4.642.1.1131",ProvenanceParticipantType,Provenance participant type,"These codes define the type of participation by an agent in a provenance activity. An agent is something that bears the responsibility identified by the type of participation in the activity taking place, for the existence of an entity, or for another agent's activity. An Agent may be An agent, device, system, organization, group, care-team, or other identifiable thing.","ValueSet/provenance-agent-type"
http://terminology.hl7.org/CodeSystem/v2-0131,2.0.0,active,"2.16.840.1.113883.18.58",ContactRole2,contactRole2,"Code system of concepts which specify a relationship role that the next of kin/associated parties plays with regard to the patient. Also used in referrals, for example, it may be necessary to identify the contact representative at the clinic that sent a referral. Used in HL7 Version 2 messaging in the NK1 and CTD segments after 2.5, when it replace 2.16.840.1.113883.18.57.","ValueSet/patient-contactrelationship"
http://terminology.hl7.org/CodeSystem/v3-ActCode,9.0.0,active,"2.16.840.1.113883.5.4",ActCode,ActCode,"A code specifying the particular kind of Act that the Act-instance represents within its class.    *Constraints:* The kind of Act (e.g. physical examination, serum potassium, inpatient encounter, charge financial transaction, etc.) is specified with a code from one of several, typically external, coding systems. The coding system will depend on the class of Act, such as LOINC for observations, etc.    Conceptually, the Act.code must be a specialization of the Act.classCode. This is why the structure of ActClass domain should be reflected in the superstructure of the ActCode domain and then individual codes or externally referenced vocabularies subordinated under these domains that reflect the ActClass structure.    Act.classCode and Act.code are not modifiers of each other but the Act.code concept should really imply the Act.classCode concept. For a negative example, it is not appropriate to use an Act.code ""potassium"" together with and Act.classCode for ""laboratory observation"" to somehow mean ""potassium laboratory observation"" and then use the same Act.code for ""potassium"" together with Act.classCode for ""medication"" to mean ""substitution of potassium"". This mutually modifying use of Act.code and Act.classCode is not permitted.","ValueSet/v3-ActCode,ValueSet/provenance-activity-type"
http://terminology.hl7.org/CodeSystem/v3-ActReason,3.1.0,active,"2.16.840.1.113883.5.8",ActReason,ActReason,"A set of codes specifying the motivation, cause, or rationale of an Act, when such rationale is not reasonably represented as an ActRelationship of type ""has reason"" linking to another Act.    *Examples:* Example reasons that might qualify for being coded in this field might be: ""routine requirement"", ""infectious disease reporting requirement"", ""on patient request"", ""required by law"".","ValueSet/v3-PurposeOfUse"
http://terminology.hl7.org/CodeSystem/v3-DataOperation,5.0.0,active,"2.16.840.1.113883.5.1123",DataOperation,DataOperation,"**** MISSING DESCRIPTION ****","ValueSet/provenance-activity-type"
http://terminology.hl7.org/CodeSystem/v3-DocumentCompletion,3.0.0,active,"2.16.840.1.113883.5.33",DocumentCompletion,DocumentCompletion,"Identifies the current completion state of a clinical document.","ValueSet/provenance-activity-type"
http://terminology.hl7.org/CodeSystem/v3-MaritalStatus,3.0.0,active,"2.16.840.1.113883.5.2",MaritalStatus,MaritalStatus,"\* \* \* No description supplied \* \* \*    *Open Issue:* The specific meanings of these codes can vary somewhat by jurisdiction and implementation so caution should be used when determining equivalency.    *Open Issue:* fixing and completion of the hierarchy and proper good definitions of all the concepts is badly needed.","ValueSet/marital-status"
http://terminology.hl7.org/CodeSystem/v3-NullFlavor,3.0.0,active,"2.16.840.1.113883.5.1008",NullFlavor,NullFlavor,"A collection of codes specifying why a valid value is not present.","ValueSet/marital-status"
http://terminology.hl7.org/CodeSystem/v3-ParticipationFunction,3.0.0,active,"2.16.840.1.113883.5.88",ParticipationFunction,ParticipationFunction,"This code is used to specify the exact function an actor had in a service in all necessary detail. This domain may include local extensions (CWE).","ValueSet/security-role-type"
http://terminology.hl7.org/CodeSystem/v3-ParticipationMode,4.0.0,active,"2.16.840.1.113883.5.1064",ParticipationMode,ParticipationMode,"A set of codes specifying the modality by which the Entity playing the Role is participating in the Act.    *Examples:* Physically present, over the telephone, written communication.    *Rationale:* Particularly for author (originator) participants this is used to specify whether the information represented by the act was initially provided verbally, (hand-)written, or electronically.    *Open Issue:* There needs to be a reexamination of the hierarchies as there seems to be some muddling between ELECTRONIC and other concepts that involve electronic communication that are in other hierarchies.","ValueSet/v3-ParticipationMode"
http://terminology.hl7.org/CodeSystem/v3-ParticipationType,5.0.0,active,"2.16.840.1.113883.5.90",ParticipationType,ParticipationType,"A code specifying the meaning and purpose of every Participation instance. Each of its values implies specific constraints on the Roles undertaking the participation.","ValueSet/security-role-type,ValueSet/provenance-activity-type"
http://terminology.hl7.org/CodeSystem/v3-RoleClass,4.0.0,active,"2.16.840.1.113883.5.110",RoleClass,RoleClass,"Codes for the Role class hierarchy. The values in this hierarchy, represent a Role which is an association or relationship between two entities - the entity that plays the role and the entity that scopes the role. Roles names are derived from the name of the playing entity in that role.    The role hierarchy stems from three core concepts, or abstract domains:     *  **RoleClassOntological** is an abstract domain that collects roles in which the playing entity is defined or specified by the scoping entity.   *  **RoleClassPartitive** collects roles in which the playing entity is in some sense a ""part"" of the scoping entity.   *  **RoleClassAssociative** collects all of the remaining forms of association between the playing entity and the scoping entity. This set of roles is further partitioned between:             *  **RoleClassPassive** which are roles in which the playing entity is used, known, treated, handled, built, or destroyed, etc. under the auspices of the scoping entity. The playing entity is passive in these roles in that the role exists without an agreement from the playing entity.       *  **RoleClassMutualRelationship** which are relationships based on mutual behavior of the two entities. The basis of these relationship may be formal agreements or they may be *de facto* behavior. Thus, this sub-domain is further divided into:                     *  **RoleClassRelationshipFormal** in which the relationship is formally defined, frequently by a contract or agreement.           *  **Personal relationship** which inks two people in a personal relationship.    The hierarchy discussed above is represented In the current vocabulary tables as a set of abstract domains, with the exception of the ""Personal relationship"" which is a leaf concept.    *OpenIssue:* Description copied from Concept Domain of same name. Must be verified.","ValueSet/security-role-type"
http://terminology.hl7.org/CodeSystem/v3-RoleCode,3.0.0,active,"2.16.840.1.113883.5.111",RoleCode,RoleCode,"A set of codes further specifying the kind of Role; specific classification codes for further qualifying RoleClass codes.","ValueSet/security-role-type,ValueSet/v3-ServiceDeliveryLocationRoleType"
urn:ietf:bcp:47,2.0.1,active,"2.16.840.1.113883.6.121",Ietf3066,Tags for the Identification of Languages,"Older value from OID registry.  Superceded; see recommendations in BCP-47.","ValueSet/languages"
urn:iso:std:iso:3166,1.0.1,active,"1.0.3166.1",ISO3166Part1,ISO 3166-1 Codes for the representation of names of countries and their subdivisions — Part 1: Country code,"ISO 3166-1 establishes codes that represent the current names of countries, dependencies, and other areas of particular geopolitical interest, on the basis of country names obtained from the United Nations.","ValueSet/jurisdiction"
urn:iso:std:iso:3166:-2,2013-11,retired,"1.0.3166.2",Iso3166_2,ISO 3166 Part 2 Country Subdivision Codes,"Identifies the coding system published in the ISO 3166-2 Standard for Country Subdivision codes. This standard is released periodically, and a new OID will be assigned by ISO for new editions.","ValueSet/jurisdiction"
